Algorithm,Implementation,Thread Count,Elements,Time
MergeSort, OpenMP, 4, 64, 0.004790
MergeSort, OpenMP, 8, 64, 0.006464
MergeSort, OpenMP, 16, 64, 0.004397
MergeSort, OpenMP, 32, 64, 0.006100
QuickSort, OpenMP, 1, 64, 0.000031
QuickSort, OpenMP, 2, 64, 0.000703
QuickSort, OpenMP, 4, 64, 0.004072
QuickSort, OpenMP, 8, 64, 0.006700
QuickSort, OpenMP, 16, 64, 0.004464
QuickSort, OpenMP, 32, 64, 0.008675
Sample Sort, OpenMP, 1, 64, 0.000004
Sample Sort, OpenMP, 2, 64, 0.000004
Sample Sort, OpenMP, 4, 64, 0.000004
Sample Sort, OpenMP, 8, 64, 0.000004
Sample Sort, OpenMP, 16, 64, 0.000004
Sample Sort, OpenMP, 32, 64, 0.000004
TimSort, OpenMP, 1, 128, 0.000012
TimSort, OpenMP, 2, 128, 0.000451
TimSort, OpenMP, 4, 128, 0.008506
TimSort, OpenMP, 8, 128, 0.015184
TimSort, OpenMP, 16, 128, 0.005446
TimSort, OpenMP, 32, 128, 0.006371
Bitonic Sort, OpenMP, 1, 128, 0.000083
Bitonic Sort, OpenMP, 2, 128, 0.000261
Bitonic Sort, OpenMP, 4, 128, 0.004083
Bitonic Sort, OpenMP, 8, 128, 0.005475
Bitonic Sort, OpenMP, 16, 128, 0.003263
Bitonic Sort, OpenMP, 32, 128, 0.007911
MergeSort, OpenMP, 1, 128, 0.000079
MergeSort, OpenMP, 2, 128, 0.000400
MergeSort, OpenMP, 4, 128, 0.003778
MergeSort, OpenMP, 8, 128, 0.005001
MergeSort, OpenMP, 16, 128, 0.005531
MergeSort, OpenMP, 32, 128, 0.004632
QuickSort, OpenMP, 1, 128, 0.000064
QuickSort, OpenMP, 2, 128, 0.000318
QuickSort, OpenMP, 4, 128, 0.004368
QuickSort, OpenMP, 8, 128, 0.008051
QuickSort, OpenMP, 16, 128, 0.003342
QuickSort, OpenMP, 32, 128, 0.007642
Sample Sort, OpenMP, 1, 128, 0.000008
Sample Sort, OpenMP, 2, 128, 0.000023
Sample Sort, OpenMP, 4, 128, 0.000008
Sample Sort, OpenMP, 8, 128, 0.000008
Sample Sort, OpenMP, 16, 128, 0.000008
Sample Sort, OpenMP, 32, 128, 0.000008
TimSort, OpenMP, 1, 256, 0.000019
