Algorithm,Implementation,Thread Count,Elements,Time
Bitonic Sort, OpenMP, 5, 32768, 0.012233
Bitonic Sort, OpenMP, 6, 32768, 0.013208
Bitonic Sort, OpenMP, 7, 32768, 0.017810
Bitonic Sort, OpenMP, 8, 32768, 0.014946
Bitonic Sort, OpenMP, 16, 32768, 0.014015
Bitonic Sort, OpenMP, 32, 32768, 0.015569
MergeSort, OpenMP, 1, 32768, 0.006294
MergeSort, OpenMP, 2, 32768, 0.004135
MergeSort, OpenMP, 3, 32768, 0.005027
MergeSort, OpenMP, 4, 32768, 0.003828
MergeSort, OpenMP, 5, 32768, 0.003029
MergeSort, OpenMP, 6, 32768, 0.003549
MergeSort, OpenMP, 7, 32768, 0.003466
MergeSort, OpenMP, 8, 32768, 0.004368
MergeSort, OpenMP, 16, 32768, 0.014386
MergeSort, OpenMP, 32, 32768, 0.015240
QuickSort, OpenMP, 1, 32768, 0.012856
QuickSort, OpenMP, 2, 32768, 0.014977
QuickSort, OpenMP, 3, 32768, 0.018268
QuickSort, OpenMP, 4, 32768, 0.010936
QuickSort, OpenMP, 5, 32768, 0.011380
QuickSort, OpenMP, 6, 32768, 0.009040
QuickSort, OpenMP, 7, 32768, 0.010456
QuickSort, OpenMP, 8, 32768, 0.016061
QuickSort, OpenMP, 16, 32768, 0.012652
QuickSort, OpenMP, 32, 32768, 0.014943
Sample Sort, OpenMP, 1, 32768, 0.006792
Sample Sort, OpenMP, 2, 32768, 0.009273
Sample Sort, OpenMP, 3, 32768, 0.007816
Sample Sort, OpenMP, 4, 32768, 0.009780
Sample Sort, OpenMP, 5, 32768, 0.006811
Sample Sort, OpenMP, 6, 32768, 0.008068
Sample Sort, OpenMP, 7, 32768, 0.007679
Sample Sort, OpenMP, 8, 32768, 0.013040
Sample Sort, OpenMP, 16, 32768, 0.010533
Sample Sort, OpenMP, 32, 32768, 0.021275
TimSort, OpenMP, 1, 32768, 0.003899
TimSort, OpenMP, 2, 32768, 0.003256
TimSort, OpenMP, 3, 32768, 0.003317
TimSort, OpenMP, 4, 32768, 0.004218
TimSort, OpenMP, 5, 32768, 0.003305
TimSort, OpenMP, 6, 32768, 0.002891
TimSort, OpenMP, 7, 32768, 0.003554
TimSort, OpenMP, 8, 32768, 0.006346
TimSort, OpenMP, 16, 32768, 0.004573
TimSort, OpenMP, 32, 32768, 0.013321
Bitonic Sort, OpenMP, 1, 32768, 0.028347
Bitonic Sort, OpenMP, 2, 32768, 0.020377
Bitonic Sort, OpenMP, 3, 32768, 0.015031
Bitonic Sort, OpenMP, 4, 32768, 0.018022
Bitonic Sort, OpenMP, 5, 32768, 0.014019
Bitonic Sort, OpenMP, 6, 32768, 0.019436
Bitonic Sort, OpenMP, 7, 32768, 0.013890
Bitonic Sort, OpenMP, 8, 32768, 0.013064
Bitonic Sort, OpenMP, 16, 32768, 0.014109
Bitonic Sort, OpenMP, 32, 32768, 0.018564
MergeSort, OpenMP, 1, 32768, 0.005708
MergeSort, OpenMP, 2, 32768, 0.003685
MergeSort, OpenMP, 3, 32768, 0.008223
MergeSort, OpenMP, 4, 32768, 0.005261
MergeSort, OpenMP, 5, 32768, 0.003281
MergeSort, OpenMP, 6, 32768, 0.004345
MergeSort, OpenMP, 7, 32768, 0.003380
MergeSort, OpenMP, 8, 32768, 0.009387
MergeSort, OpenMP, 16, 32768, 0.007055
MergeSort, OpenMP, 32, 32768, 0.014384
QuickSort, OpenMP, 1, 32768, 0.013959
QuickSort, OpenMP, 2, 32768, 0.016343
QuickSort, OpenMP, 3, 32768, 0.011273
QuickSort, OpenMP, 4, 32768, 0.012362
QuickSort, OpenMP, 5, 32768, 0.011956
QuickSort, OpenMP, 6, 32768, 0.010785
QuickSort, OpenMP, 7, 32768, 0.009350
QuickSort, OpenMP, 8, 32768, 0.012724
QuickSort, OpenMP, 16, 32768, 0.014596
QuickSort, OpenMP, 32, 32768, 0.024526
Sample Sort, OpenMP, 1, 32768, 0.006585
Sample Sort, OpenMP, 2, 32768, 0.007861
Sample Sort, OpenMP, 3, 32768, 0.006436
Sample Sort, OpenMP, 4, 32768, 0.006991
Sample Sort, OpenMP, 5, 32768, 0.007803
Sample Sort, OpenMP, 6, 32768, 0.011998
Sample Sort, OpenMP, 7, 32768, 0.010129
Sample Sort, OpenMP, 8, 32768, 0.018795
Sample Sort, OpenMP, 16, 32768, 0.010267
Sample Sort, OpenMP, 32, 32768, 0.014256
TimSort, OpenMP, 1, 32768, 0.004955
TimSort, OpenMP, 2, 32768, 0.004423
TimSort, OpenMP, 3, 32768, 0.004011
TimSort, OpenMP, 4, 32768, 0.002565
TimSort, OpenMP, 5, 32768, 0.003151
TimSort, OpenMP, 6, 32768, 0.005165
TimSort, OpenMP, 7, 32768, 0.005007
TimSort, OpenMP, 8, 32768, 0.005597
TimSort, OpenMP, 16, 32768, 0.006493
TimSort, OpenMP, 32, 32768, 0.008885
Bitonic Sort, OpenMP, 1, 32768, 0.026738
Bitonic Sort, OpenMP, 2, 32768, 0.019026
Bitonic Sort, OpenMP, 3, 32768, 0.015979
Bitonic Sort, OpenMP, 4, 32768, 0.017900
Bitonic Sort, OpenMP, 5, 32768, 0.018216
Bitonic Sort, OpenMP, 6, 32768, 0.012748
Bitonic Sort, OpenMP, 7, 32768, 0.012175
Bitonic Sort, OpenMP, 8, 32768, 0.011851
Bitonic Sort, OpenMP, 16, 32768, 0.017562
Bitonic Sort, OpenMP, 32, 32768, 0.015199
MergeSort, OpenMP, 1, 32768, 0.005933
MergeSort, OpenMP, 2, 32768, 0.004775
MergeSort, OpenMP, 3, 32768, 0.004592
MergeSort, OpenMP, 4, 32768, 0.006142
MergeSort, OpenMP, 5, 32768, 0.006206
MergeSort, OpenMP, 6, 32768, 0.003922
MergeSort, OpenMP, 7, 32768, 0.005021
MergeSort, OpenMP, 8, 32768, 0.004509
MergeSort, OpenMP, 16, 32768, 0.008029
MergeSort, OpenMP, 32, 32768, 0.010288
QuickSort, OpenMP, 1, 32768, 0.014304
QuickSort, OpenMP, 2, 32768, 0.013725
QuickSort, OpenMP, 3, 32768, 0.008812
QuickSort, OpenMP, 4, 32768, 0.009611
QuickSort, OpenMP, 5, 32768, 0.013021
QuickSort, OpenMP, 6, 32768, 0.015296
QuickSort, OpenMP, 7, 32768, 0.014796
QuickSort, OpenMP, 8, 32768, 0.021391
QuickSort, OpenMP, 16, 32768, 0.013015
QuickSort, OpenMP, 32, 32768, 0.026291
Sample Sort, OpenMP, 1, 32768, 0.006435
Sample Sort, OpenMP, 2, 32768, 0.006744
Sample Sort, OpenMP, 3, 32768, 0.008711
Sample Sort, OpenMP, 4, 32768, 0.006837
Sample Sort, OpenMP, 5, 32768, 0.007752
Sample Sort, OpenMP, 6, 32768, 0.006961
Sample Sort, OpenMP, 7, 32768, 0.013356
Sample Sort, OpenMP, 8, 32768, 0.014629
Sample Sort, OpenMP, 16, 32768, 0.011059
Sample Sort, OpenMP, 32, 32768, 0.015543
