Algorithm,Implementation,Thread Count,Elements,Time
Bitonic Sort, OpenMP, 6, 1048576, 0.572259
Bitonic Sort, OpenMP, 7, 1048576, 0.635501
Bitonic Sort, OpenMP, 8, 1048576, 0.488030
Bitonic Sort, OpenMP, 16, 1048576, 0.464585
Bitonic Sort, OpenMP, 32, 1048576, 0.449240
MergeSort, OpenMP, 1, 1048576, 0.247623
MergeSort, OpenMP, 2, 1048576, 0.145719
MergeSort, OpenMP, 3, 1048576, 0.118222
MergeSort, OpenMP, 4, 1048576, 0.098079
MergeSort, OpenMP, 5, 1048576, 0.098936
MergeSort, OpenMP, 6, 1048576, 0.124979
MergeSort, OpenMP, 7, 1048576, 0.089816
MergeSort, OpenMP, 8, 1048576, 0.096688
MergeSort, OpenMP, 16, 1048576, 0.090542
MergeSort, OpenMP, 32, 1048576, 0.082984
QuickSort, OpenMP, 1, 1048576, 0.493315
QuickSort, OpenMP, 2, 1048576, 0.347032
QuickSort, OpenMP, 3, 1048576, 0.356769
QuickSort, OpenMP, 4, 1048576, 0.336883
QuickSort, OpenMP, 5, 1048576, 0.474456
QuickSort, OpenMP, 6, 1048576, 0.509995
QuickSort, OpenMP, 7, 1048576, 0.554885
QuickSort, OpenMP, 8, 1048576, 0.477065
QuickSort, OpenMP, 16, 1048576, 0.328772
QuickSort, OpenMP, 32, 1048576, 0.276015
Sample Sort, OpenMP, 1, 1048576, 0.313554
Sample Sort, OpenMP, 2, 1048576, 0.320983
Sample Sort, OpenMP, 3, 1048576, 0.238777
Sample Sort, OpenMP, 4, 1048576, 0.241560
Sample Sort, OpenMP, 5, 1048576, 0.381213
Sample Sort, OpenMP, 6, 1048576, 0.219605
Sample Sort, OpenMP, 7, 1048576, 0.347705
Sample Sort, OpenMP, 8, 1048576, 0.287777
Sample Sort, OpenMP, 16, 1048576, 0.223221
Sample Sort, OpenMP, 32, 1048576, 0.197402
TimSort, OpenMP, 1, 1048576, 0.177932
TimSort, OpenMP, 2, 1048576, 0.103417
TimSort, OpenMP, 3, 1048576, 0.113778
TimSort, OpenMP, 4, 1048576, 0.087152
TimSort, OpenMP, 5, 1048576, 0.078403
TimSort, OpenMP, 6, 1048576, 0.071807
TimSort, OpenMP, 7, 1048576, 0.073075
TimSort, OpenMP, 8, 1048576, 0.077150
TimSort, OpenMP, 16, 1048576, 0.076728
TimSort, OpenMP, 32, 1048576, 0.081070
Bitonic Sort, OpenMP, 1, 1048576, 1.157348
Bitonic Sort, OpenMP, 2, 1048576, 0.680002
Bitonic Sort, OpenMP, 3, 1048576, 0.655933
Bitonic Sort, OpenMP, 4, 1048576, 0.509605
Bitonic Sort, OpenMP, 5, 1048576, 0.575476
Bitonic Sort, OpenMP, 6, 1048576, 0.478600
Bitonic Sort, OpenMP, 7, 1048576, 0.447380
Bitonic Sort, OpenMP, 8, 1048576, 0.436081
Bitonic Sort, OpenMP, 16, 1048576, 0.410154
Bitonic Sort, OpenMP, 32, 1048576, 0.398280
MergeSort, OpenMP, 1, 1048576, 0.235079
MergeSort, OpenMP, 2, 1048576, 0.135187
MergeSort, OpenMP, 3, 1048576, 0.147898
MergeSort, OpenMP, 4, 1048576, 0.121664
MergeSort, OpenMP, 5, 1048576, 0.116608
MergeSort, OpenMP, 6, 1048576, 0.091634
MergeSort, OpenMP, 7, 1048576, 0.085586
MergeSort, OpenMP, 8, 1048576, 0.078931
MergeSort, OpenMP, 16, 1048576, 0.085347
MergeSort, OpenMP, 32, 1048576, 0.089441
QuickSort, OpenMP, 1, 1048576, 0.503053
QuickSort, OpenMP, 2, 1048576, 0.297862
QuickSort, OpenMP, 3, 1048576, 0.410567
QuickSort, OpenMP, 4, 1048576, 0.390735
QuickSort, OpenMP, 5, 1048576, 0.332715
QuickSort, OpenMP, 6, 1048576, 0.418205
QuickSort, OpenMP, 7, 1048576, 0.426474
QuickSort, OpenMP, 8, 1048576, 0.495288
QuickSort, OpenMP, 16, 1048576, 0.353872
QuickSort, OpenMP, 32, 1048576, 0.416801
Sample Sort, OpenMP, 1, 1048576, 0.297325
Sample Sort, OpenMP, 2, 1048576, 0.353348
Sample Sort, OpenMP, 3, 1048576, 0.265708
Sample Sort, OpenMP, 4, 1048576, 0.212019
Sample Sort, OpenMP, 5, 1048576, 0.229653
Sample Sort, OpenMP, 6, 1048576, 0.325513
Sample Sort, OpenMP, 7, 1048576, 0.300392
Sample Sort, OpenMP, 8, 1048576, 0.325345
Sample Sort, OpenMP, 16, 1048576, 0.307463
Sample Sort, OpenMP, 32, 1048576, 0.317993
TimSort, OpenMP, 1, 1048576, 0.172582
TimSort, OpenMP, 2, 1048576, 0.104231
TimSort, OpenMP, 3, 1048576, 0.097304
TimSort, OpenMP, 4, 1048576, 0.081074
TimSort, OpenMP, 5, 1048576, 0.112054
TimSort, OpenMP, 6, 1048576, 0.093175
TimSort, OpenMP, 7, 1048576, 0.068940
TimSort, OpenMP, 8, 1048576, 0.068110
TimSort, OpenMP, 16, 1048576, 0.082970
TimSort, OpenMP, 32, 1048576, 0.082062
Bitonic Sort, OpenMP, 1, 1048576, 1.188596
Bitonic Sort, OpenMP, 2, 1048576, 0.685134
Bitonic Sort, OpenMP, 3, 1048576, 0.675453
Bitonic Sort, OpenMP, 4, 1048576, 0.525320
Bitonic Sort, OpenMP, 5, 1048576, 0.462532
Bitonic Sort, OpenMP, 6, 1048576, 0.451638
Bitonic Sort, OpenMP, 7, 1048576, 0.416098
Bitonic Sort, OpenMP, 8, 1048576, 0.414425
Bitonic Sort, OpenMP, 16, 1048576, 0.451090
Bitonic Sort, OpenMP, 32, 1048576, 0.384627
MergeSort, OpenMP, 1, 1048576, 0.238676
MergeSort, OpenMP, 2, 1048576, 0.187430
MergeSort, OpenMP, 3, 1048576, 0.136761
MergeSort, OpenMP, 4, 1048576, 0.122130
MergeSort, OpenMP, 5, 1048576, 0.102382
MergeSort, OpenMP, 6, 1048576, 0.092441
MergeSort, OpenMP, 7, 1048576, 0.090885
MergeSort, OpenMP, 8, 1048576, 0.088866
MergeSort, OpenMP, 16, 1048576, 0.090915
MergeSort, OpenMP, 32, 1048576, 0.092325
QuickSort, OpenMP, 1, 1048576, 0.513460
QuickSort, OpenMP, 2, 1048576, 0.485176
QuickSort, OpenMP, 3, 1048576, 0.345309
QuickSort, OpenMP, 4, 1048576, 0.321739
QuickSort, OpenMP, 5, 1048576, 0.476257
QuickSort, OpenMP, 6, 1048576, 0.325277
QuickSort, OpenMP, 7, 1048576, 0.340679
QuickSort, OpenMP, 8, 1048576, 0.433453
QuickSort, OpenMP, 16, 1048576, 0.431916
QuickSort, OpenMP, 32, 1048576, 0.380180
Sample Sort, OpenMP, 1, 1048576, 0.295302
Sample Sort, OpenMP, 2, 1048576, 0.374164
Sample Sort, OpenMP, 3, 1048576, 0.252853
Sample Sort, OpenMP, 4, 1048576, 0.318023
Sample Sort, OpenMP, 5, 1048576, 0.335859
Sample Sort, OpenMP, 6, 1048576, 0.233504
Sample Sort, OpenMP, 7, 1048576, 0.267082
Sample Sort, OpenMP, 8, 1048576, 0.268506
